Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName
python-etcd.spec,https://github.com/jplana/python-etcd/archive/refs/tags/%{srcname}-%{version}.tar.gz,https://github.com/jplana/python-etcd/archive/refs/tags/0.4.5.tar.gz,200,(same version),,,python-etcd,,
python-ethtool.spec,python-ethtool-%{version}.tar.gz,https://github.com/fedora-python/python-ethtool/archive/refs/tags/v0.15.tar.gz,200,(same version),,,python-ethtool,,
python-filelock.spec,https://files.pythonhosted.org/packages/14/ec/6ee2168387ce0154632f856d5cc5592328e9cf93127c5c9aeca92c8c16cb/filelock-%{version}.tar.gz,https://github.com/tox-dev/py-filelock/archive/refs/tags/v3.8.0.tar.gz,200,Warning: Manufacturer may changed version packaging format.,,,python-filelock,,
python-flit-core.spec,https://files.pythonhosted.org/packages/source/f/flit_core/flit_core-%{version}.tar.gz,https://github.com/pypa/flit/archive/refs/tags/3.7.1.tar.gz,200,3.12.0,https://github.com/pypa/flit/archive/refs/tags/3.12.0.tar.gz,200,python-flit-core,FF6DF66DFDAE6FDF7B277CC3FBB7C9A569103CBE82A3E3CE6F315EC6ADEC46BE8692EBA4549A66B3AF537D128E6B57ED8F49316B705636466C25674198503643,python-flit-core-3.12.0.tar.gz
python-fuse.spec,https://github.com/libfuse/python-fuse/archive/refs/tags/python-fuse-%{version}.tar.gz,https://github.com/libfuse/python-fuse/archive/refs/tags/v1.0.5.tar.gz,200,1.0.9,https://github.com/libfuse/python-fuse/archive/refs/tags/v1.0.9.tar.gz,200,python-fuse,2C0514B2EAD677FD20ED12D340DDD14983DD55BD27A6E0D213995700F8DFE783930E33D6DF93E7042584E2205D9FCC9B27FC159C39BC21E79A7934B402B89C4B,python-fuse-1.0.9.tar.gz
python-geomet.spec,https://github.com/geomet/geomet/archive/refs/tags/%{srcname}-%{version}.tar.gz,https://github.com/geomet/geomet/archive/refs/tags/0.3.0.tar.gz,200,1.1.0,https://github.com/geomet/geomet/archive/refs/tags/1.1.0.tar.gz,200,python-geomet,68CC1C2296EB07B930202A70DB2A988D57533FD183324A91C8D19505FA1DBB57DD7B48889821368CDD9F973F363F425426E5138BF985122048C7E5C6BA174692,python-geomet-1.1.0.tar.gz
python-gevent.spec,https://pypi.org/project/%{srcname}/%{version}/%{srcname}-%{version}.tar.gz,https://github.com/gevent/gevent/archive/refs/tags/23.9.1.tar.gz,200,25.9.1,https://github.com/gevent/gevent/archive/refs/tags/25.9.1.tar.gz,200,python-gevent,BC9F880FD64C32C742C1C0CD78AB8570631EC130956C8E8B3E14E3638A70A517DB76480C994B84B9949D1D174FA5AB6CD0408BD40BB171AB5A90BC84FCC861F1,python-gevent-25.9.1.tar.gz
python-google-auth.spec,https://github.com/googleapis/google-auth-library-python/archive/%{srcname}-%{version}.tar.gz,https://github.com/googleapis/google-auth-library-python/archive/refs/tags/v2.32.0.tar.gz,200,Warning: Manufacturer may changed version packaging format.,,,python-google-auth,,
python-graphviz.spec,graphviz-%{version}.zip,https://github.com/xflr6/graphviz/archive/refs/tags/0.20.1.tar.gz,200,0.21,https://github.com/xflr6/graphviz/archive/refs/tags/0.21.tar.gz,200,python-graphviz,012C80C8F70EDDCD8ADA5D9F047D877E9078AD338DF95AA91057DF545E9D0939788C82115F6B251FF197A4868C2E2543A8205E64C83C3D64F5A26E7EC55C02BD,python-graphviz-0.21.tar.gz
python-greenlet.spec,greenlet-%{version}.tar.gz,https://github.com/python-greenlet/greenlet/archive/refs/tags/2.0.0.tar.gz,200,3.3.1,https://github.com/python-greenlet/greenlet/archive/refs/tags/3.3.1.tar.gz,200,python-greenlet,EE82CE0A9FA3B2BD84AAE96E37020980CE6374407A8668DFA69185BCF6601522C71FCC370FC3FEBAFDF69391C71C9678892ED3E09B12D6B62C6C9EF151579B73,python-greenlet-3.3.1.tar.gz
