Spec,SubRelease,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master,photon-main
libevent.spec,,2.1.12-1,2.1.12-1,2.1.12-2,2.1.12-2,,2.1.12-2,2.1.12-2,2.1.12-2
libfastjson.spec,,0.99.8-1,0.99.8-1,1.2304.0-1,1.2304.0-1,,0.99.9-1,0.99.9-1,1.2304.0-1
libffi.spec,,3.2.1-6,3.3-1,3.4.2-4,3.4.2-4,,3.4.2-2,3.4.2-2,3.4.2-4
libfido2.spec,,,,1.12.0-2,1.12.0-2,,1.12.0-1,1.12.0-1,1.12.0-2
libfontenc.spec,,1.1.2-1,1.1.2-1,1.1.2-3,1.1.2-3,,1.1.2-2,1.1.2-2,1.1.2-3
libgcrypt.spec,,1.8.8-2,1.9.4-2,1.10.1-5,1.10.1-5,,1.10.1-3,1.10.1-3,1.10.1-5
libgd.spec,,2.3.3-2,2.3.3-4,2.3.3-11,2.3.3-9,,2.3.3-6,2.3.3-6,2.3.3-11
libglvnd.spec,,,1.4.0-3,1.4.0-5,1.4.0-5,,1.4.0-6,1.4.0-6,1.4.0-5
libgpg-error.spec,,1.32-2,1.39-1,1.46-3,1.46-3,,1.46-1,1.46-1,1.46-3
libgssglue.spec,,0.4-3,0.4-3,0.4-4,0.4-4,,0.4-3,0.4-3,0.4-4
libgsystem.spec,,2015.2-3,,,,,,,
libgudev.spec,,232-2,234-3,237-4,237-3,,237-1,237-1,237-3
libgudev.spec,90,,,237-3.0.1,,,,,
libhugetlbfs.spec,,2.22-1,2.23-2,2.23-4,2.23-4,,2.23-3,2.23-3,2.23-4
libical.spec,,3.0.7-2,3.0.8-6,3.0.14-7,3.0.14-6,,3.0.14-7,3.0.14-7,3.0.14-6
libical.spec,90,,,3.0.14-6.1,,,,,
libICE.spec,,,1.1.1-1,1.1.1-3,1.1.1-2,,1.1.1-1,1.1.1-1,1.1.1-2
libjpeg-turbo.spec,,2.1.0-3,2.1.0-2,2.1.4-3,2.1.4-3,,2.1.4-2,2.1.4-2,2.1.4-3
libksba.spec,,1.3.5-3,1.4.0-4,1.6.3-3,1.6.3-3,,1.6.2-3,1.6.2-3,1.6.3-3
libldb.spec,,2.6.2-1,2.8.2-1,2.8.2-5,2.8.2-2,,2.6.1-3,2.6.1-3,2.8.2-4
libldb.spec,90,,,2.8.2-2.1.1,,,,,
libldb.spec,91,,,,,,,,2.8.2-2.1
liblogging.spec,,1.0.6-2,1.0.6-2,1.0.6-3,1.0.6-3,,1.0.6-2,1.0.6-2,1.0.6-3
liblognorm.spec,,,,2.0.9-3,,,,,2.0.9-1
libmbim.spec,,1.16.2-3,1.24.2-6,1.26.2-8,1.26.2-6,,1.26.2-5,1.26.2-5,1.26.2-7
libmbim.spec,90,,,1.26.2-6.1.1,,,,,
libmbim.spec,91,,,,,,,,1.26.2-6.1
libmd.spec,,,,1.1.0-1,1.1.0-1,,1.1.0-1,1.1.0-1,1.1.0-1
libmetalink.spec,,0.1.3-2,,,,,,,
libmicrohttpd.spec,,,0.9.76-3,0.9.76-5,0.9.76-4,,0.9.76-2,0.9.76-2,0.9.76-5
libmnl.spec,,1.0.4-4,1.0.4-4,1.0.5-3,1.0.5-3,,1.0.5-2,1.0.5-2,1.0.5-3
libmodulemd.spec,,2.4.0-5,2.13.0-7,,2.14.0-9,,2.14.0-6,2.14.0-6,
libmodulemd.spec,90,,,2.14.0-9.1.1,,,,,2.14.0-9.1.1
libmspack.spec,,0.10.1alpha-2,0.10.1alpha-3,0.11alpha-2,0.10.1alpha-3,,0.10.1alpha-2,0.10.1alpha-2,0.11alpha-1
libmspack.spec,90,,,0.10.1alpha-3.1.1,,,,,
libmspack.spec,91,,,,,,,,0.10.1alpha-3.1
libndp.spec,,1.7-3,1.7-3,1.8-3,1.8-3,,1.8-2,1.8-2,1.8-3
libnetconf2.spec,,,3.5.5-2,3.5.5-2,3.5.5-2,,2.1.18-5,2.1.18-5,3.5.5-2
libnetfilter_conntrack.spec,,1.0.8-2,1.0.8-2,1.1.1-1,1.0.9-3,,1.0.9-3,1.0.9-3,1.1.1-1
libnetfilter_conntrack.spec,90,,,1.0.9-3.1,,,,,1.0.9-3.1
libnetfilter_cthelper.spec,,1.0.0-1,1.0.0-2,1.0.1-2,1.0.1-2,,1.0.1-1,1.0.1-1,1.0.1-2
libnetfilter_cttimeout.spec,,1.0.0-1,1.0.0-1,1.0.1-2,1.0.1-2,,1.0.1-1,1.0.1-1,1.0.1-2
libnetfilter_queue.spec,,1.0.5-2,1.0.5-2,1.0.5-4,1.0.5-4,,1.0.5-4,1.0.5-4,1.0.5-4
libnfnetlink.spec,,1.0.1-1,1.0.1-1,1.0.2-2,1.0.2-2,,1.0.2-1,1.0.2-1,1.0.2-2
libnftnl.spec,,1.1.8-1,1.2.1-1,1.3.1-2,1.2.4-3,,1.2.4-2,1.2.4-2,1.3.1-1
libnftnl.spec,90,,,1.2.4-3.1.1,,,,,
libnftnl.spec,91,,,,,,,,1.2.4-3.1
libnl.spec,,3.4.0-3,3.5.0-3,3.7.0-3,3.7.0-3,,3.7.0-3,3.7.0-3,3.7.0-3
libnsl.spec,,1.2.0-2,1.3.0-2,,2.0.0-4,,2.0.0-3,2.0.0-3,2.0.0-5
libnsl.spec,90,,,2.0.0-5.1,,,,,
libnss-ato.spec,,2.3.6-3,20201005-2,20240514-5,20240514-4,,20240514-3,20240514-3,20240514-4
libnss-ato.spec,90,,,20240514-4.1,,,,,
libnvme.spec,,,,1.16.1-2,1.3-3,,1.3-3,1.3-3,1.16.1-1
libnvme.spec,90,,,1.3-3.1.1,,,,,
libnvme.spec,91,,,,,,,,1.3-3.1
libpcap.spec,,1.9.1-1,1.10.0-1,1.10.1-2,1.10.1-2,,1.10.1-1,1.10.1-1,1.10.1-2
libpciaccess.spec,,,0.13.3-1,0.16-2,0.16-2,,0.16-1,0.16-1,0.16-2
libpipeline.spec,,1.5.3-2,1.5.3-2,1.5.6-3,1.5.6-3,,1.5.6-1,1.5.6-1,1.5.6-3
libpng.spec,,1.6.40-1,1.6.56-1,1.6.56-1,1.6.38-2,,1.6.38-1,1.6.38-1,1.6.56-1
libpsl.spec,,0.20.2-4,0.21.1-3,0.21.1-10,0.21.1-8,,0.21.1-7,0.21.1-7,0.21.1-9
libpsl.spec,90,,,0.21.1-8.1.1,,,,,
libpsl.spec,91,,,,,,,,0.21.1-8.1
libpwquality.spec,,1.4.2-1,1.4.2-3,1.4.4-9,1.4.4-7,,1.4.4-3,1.4.4-3,1.4.4-8
libpwquality.spec,90,,,1.4.4-7.1.1,,,,,
libpwquality.spec,91,,,,,,,,1.4.4-7.1
libqmi.spec,,1.20.2-3,1.26.10-1,1.30.4-5,1.30.4-5,,1.30.4-4,1.30.4-4,1.30.4-5
librdkafka.spec,,1.5.0-1,1.5.0-3,1.8.2-3,1.8.2-3,,1.8.2-1,1.8.2-1,1.8.2-3
librelp.spec,,1.2.18-2,1.8.0-6,1.10.0-8,1.10.0-6,,1.10.0-5,1.10.0-5,1.10.0-7
librelp.spec,90,,,1.10.0-7.1,,,,,
librepo.spec,,1.10.2-6,1.14.2-7,,1.14.5-6,,1.14.5-7,1.14.5-7,
librepo.spec,90,,,1.14.5-6.1.1,,,,,1.14.5-6.1.1
libretls.spec,,,,,3.8.1-1,,3.8.1-1,3.8.1-1,3.8.1-1
libretls.spec,90,,,3.8.1-1.1,,,,,
librsync.spec,,2.0.2-2,2.3.1-2,2.3.2-3,2.3.2-3,,2.3.2-2,2.3.2-2,2.3.2-3
libseccomp.spec,,2.4.0-3,2.5.0-3,2.5.4-4,2.5.4-4,,2.5.4-2,2.5.4-2,2.5.4-4
libselinux-python3.spec,,,,3.10-4,,,,,3.10-3
libselinux-python3.spec,90,,,3.4-6.3.1,,,,,
libselinux-python3.spec,91,,,,,,,,3.4-6.3
libselinux.spec,,2.8-2,3.3-1,3.10-4,3.4-6,,3.5-4,3.5-4,3.10-3
libselinux.spec,90,,,3.4-6.3.1,,,,,
libselinux.spec,91,,,,,,,,3.4-6.3
libsemanage.spec,,,3.3-1,3.10-2,3.4-4,,3.5-1,3.5-1,3.10-1
libsemanage.spec,90,,,3.4-4.1.1,,,,,
libsemanage.spec,91,,,,,,,,3.4-4.1
libsepol.spec,,2.8-2,3.3-1,3.10-2,3.4-4,,3.5-1,3.5-1,3.10-1
libsepol.spec,90,,,3.4-4.1.1,,,,,
libsepol.spec,91,,,,,,,,3.4-4.1
libsigc++.spec,,2.10.0-2,3.0.4-4,3.2.0-3,3.2.0-3,,3.2.0-1,3.2.0-1,3.2.0-3
libslirp.spec,,4.7.0-2,4.7.0-3,4.7.0-3,4.7.0-3,,4.7.0-1,4.7.0-1,4.7.0-3
libSM.spec,,,1.2.4-1,1.2.4-2,1.2.4-2,,1.2.4-1,1.2.4-1,1.2.4-2
libsodium.spec,,1.0.18-2,1.0.18-2,1.0.18-3,1.0.18-3,,1.0.18-2,1.0.18-2,1.0.18-3
libsolv.spec,,0.6.35-8,0.7.19-7,0.7.35-1,0.7.22-7,,0.7.25-2,0.7.25-2,0.7.35-1
libsolv.spec,91,,,0.7.22-7.1,,,,,0.7.22-7.1
libsoup.spec,,2.64.0-13,2.72.0-17,,3.6.5-3,,3.2.1-18,3.2.1-18,
libsoup.spec,90,,,3.6.5-3.1.2,,,,,3.6.5-3.1.2
libssh.spec,,0.9.8-1,0.11.4-1,0.11.4-1,0.11.2-1,,0.10.5-3,0.10.5-3,0.11.4-1
libssh2.spec,,1.11.0-1,1.11.0-2,1.11.1-3,1.11.0-4,,1.10.0-4,1.10.0-4,1.11.1-1
libssh2.spec,90,,,1.11.0-4.1,,,,,
libssh2.spec,91,,,,,,,,1.11.0-4
libtalloc.spec,,2.3.4-1,2.4.1-1,2.4.4-2,2.4.1-2,,2.4.0-1,2.4.0-1,2.4.4-1
libtalloc.spec,90,,,2.4.1-2.1.1,,,,,
libtalloc.spec,91,,,,,,,,2.4.1-2.1
libtar.spec,,1.2.20-6,1.2.20-6,1.2.20-8,1.2.20-8,,1.2.20-6,1.2.20-6,1.2.20-8
libtasn1.spec,,4.14-2,4.14-4,4.19.0-5,4.19.0-4,,4.19.0-1,4.19.0-1,4.19.0-5
libtdb.spec,,1.4.7-1,1.4.13-1,1.4.13-3,1.4.13-1,,1.4.8-1,1.4.8-1,1.4.13-2
libtdb.spec,90,,,1.4.13-1.1.1,,,,,
libtdb.spec,91,,,,,,,,1.4.13-1.1
libteam.spec,,1.31-2,1.31-2,,1.31-5,,1.31-4,1.31-4,
libteam.spec,90,,,1.31-6.1,,,,,1.31-6.1
libtevent.spec,,0.13.0-1,0.15.0-1,0.17.1-2,0.15.0-2,,0.14.1-1,0.14.1-1,0.17.1-1
libtevent.spec,90,,,0.15.0-2.1.1,,,,,
libtevent.spec,91,,,,,,,,0.15.0-2.1
libtiff.spec,,4.5.1-6,4.5.1-12,4.5.1-13,4.5.1-10,,4.5.1-3,4.5.1-3,4.5.1-13
libtirpc.spec,,1.1.4-3,1.2.6-4,1.3.3-4,1.3.3-4,,1.3.3-3,1.3.3-3,1.3.3-4
libtool.spec,,2.4.6-3,2.4.6-3,2.4.7-3,2.4.7-3,,2.4.7-1,2.4.7-1,2.4.7-3
libtraceevent.spec,,,,1.8.7-2,1.6.3-2,,1.6.3-1,1.6.3-1,1.8.7-1
libtraceevent.spec,90,,,1.6.3-2.1.1,,,,,
libtraceevent.spec,91,,,,,,,,1.6.3-2.1
libtracefs.spec,,,,1.8.3-2,1.5.0-2,,1.5.0-1,1.5.0-1,1.8.3-1
libtracefs.spec,90,,,1.5.0-2.1.1,,,,,
libtracefs.spec,91,,,,,,,,1.5.0-2.1
libunistring.spec,,0.9.10-2,0.9.10-2,1.0-4,1.0-4,,1.0-2,1.0-2,1.0-4
libunwind.spec,,1.2.1-1,1.4.0-2,1.8.3-1,1.6.2-2,,1.6.2-1,1.6.2-1,1.6.2-2
libusb.spec,,1.0.22-2,1.0.23-2,1.0.26-3,1.0.26-3,,1.0.26-2,1.0.26-2,1.0.26-3
libuv.spec,,1.34.2-4,1.45.0-2,1.44.2-3,1.44.2-3,,1.44.2-1,1.44.2-1,1.44.2-3
libvirt.spec,,4.7.0-14,7.10.0-13,9.3.0-16,9.3.0-12,,8.10.0-7,8.10.0-7,9.3.0-14
libvirt.spec,90,,,9.3.0-12.1.1,,,,,
libvirt.spec,91,,,,,,,,9.3.0-12.1
libwebp.spec,,1.0.3-8,1.1.0-9,1.3.2-5,1.3.2-3,,1.3.2-1,1.3.2-1,1.3.2-5
libX11.spec,,1.8.5-2,1.8.5-2,1.8.5-4,1.8.5-3,,1.8.5-1,1.8.5-1,1.8.5-3
libXau.spec,,1.0.9-1,1.0.9-1,1.0.9-2,1.0.9-2,,1.0.9-1,1.0.9-1,1.0.9-2
libxcb.spec,,1.15-1,1.15-1,1.15-4,1.15-2,,1.15-1,1.15-1,1.15-3
libxcb.spec,90,,,1.15-2.1.1,,,,,
libxcb.spec,91,,,,,,,,1.15-2.1
libXcomposite.spec,,,0.4.5-2,0.4.5-3,0.4.5-3,,0.4.5-2,0.4.5-2,0.4.5-3
libxcrypt.spec,,,,4.5.2-2,4.4.36-3,,4.4.36-3,4.4.36-3,4.5.2-1
libxcrypt.spec,90,,,4.4.36-4.1.1,,,,,
libxcrypt.spec,91,,,,,,,,4.4.36-4.1
libXcursor.spec,,,1.2.1-2,1.2.1-3,1.2.1-3,,1.2.1-2,1.2.1-2,1.2.1-3
libXdamage.spec,,,1.1.5-1,1.1.5-2,1.1.5-2,,1.1.5-1,1.1.5-1,1.1.5-2
libXdcmp.spec,,1.1.3-1,,,,,,,
libXdmcp.spec,,,1.1.3-1,1.1.3-2,1.1.3-2,,1.1.3-1,1.1.3-1,1.1.3-2
libXext.spec,,,1.3.4-3,1.3.4-4,1.3.4-4,,1.3.4-3,1.3.4-3,1.3.4-4
libXfixes.spec,,,5.0.3-2,5.0.3-3,5.0.3-3,,5.0.3-2,5.0.3-2,5.0.3-3
libXfont2.spec,,2.0.3-1,2.0.3-2,2.0.3-4,2.0.3-3,,2.0.3-2,2.0.3-2,2.0.3-3
libXi.spec,,,1.7.10-1,1.7.10-2,1.7.10-2,,1.7.10-1,1.7.10-1,1.7.10-2
libXinerama.spec,,,1.1.5-1,1.1.5-2,1.1.5-2,,1.1.5-1,1.1.5-1,1.1.5-2
libxkbcommon.spec,,,1.4.1-3,1.4.1-5,1.4.1-5,,1.4.1-5,1.4.1-5,1.4.1-5
libxml2.spec,,2.9.11-13,2.9.12-19,2.12.10-10,2.12.10-8,,2.13.0-2,2.13.0-2,2.12.10-9
libxml2.spec,90,,,2.12.10-8.1.1,,,,,
libxml2.spec,91,,,,,,,,2.12.10-8.1
libXrandr.spec,,,1.5.2-1,1.5.2-2,1.5.2-2,,1.5.2-1,1.5.2-1,1.5.2-2
libXrender.spec,,,0.9.10-2,0.9.10-3,0.9.10-3,,0.9.10-2,0.9.10-2,0.9.10-3
libXScrnSaver.spec,,,1.2.3-2,1.2.3-3,1.2.3-3,,1.2.3-2,1.2.3-2,1.2.3-3
libxshmfence.spec,,,1.3.2-1,1.3.2-3,1.3.2-3,,1.3.2-2,1.3.2-2,1.3.2-3
libxslt.spec,,1.1.34-2,1.1.39-2,1.1.39-3,1.1.39-3,,1.1.41-1,1.1.41-1,1.1.39-3
libXt.spec,,,1.2.1-1,1.2.1-3,1.2.1-3,,1.2.1-2,1.2.1-2,1.2.1-3
libXtst.spec,,,1.2.3-3,1.2.3-4,1.2.3-4,,1.2.3-3,1.2.3-3,1.2.3-4
libyaml.spec,,0.2.1-2,0.2.5-1,0.2.5-2,0.2.5-2,,0.2.5-1,0.2.5-1,0.2.5-2
libyang.spec,,,3.7.8-1,3.7.8-1,3.7.8-1,,2.1.55-2,2.1.55-2,3.7.8-1
lightstep-tracer-cpp.spec,,0.19-4,0.19-7,,,,,,
lighttpd.spec,,,,1.4.82-2,1.4.76-3,,1.4.76-1,1.4.76-1,1.4.82-1
lighttpd.spec,90,,,1.4.76-3.1.1,,,,,
lighttpd.spec,91,,,,,,,,1.4.76-3.1
lightwave.spec,,1.3.1.34-43,,,,,,,
likewise-open.spec,,6.2.11.13-3,,,,,,,
linux-api-headers.spec,,4.19.306-1,5.10.210-1,6.1.79-6,6.1.79-5,,6.1.79-1,6.1.79-1,6.1.79-6
linux-aws.spec,,4.19.325-1,,,,,,,
linux-esx.spec,,4.19.325-1,5.10.258-2,6.12.92-2,6.1.158-3,,6.1.83-3,6.1.83-3,6.12.87-3
linux-esx.spec,91,,,6.1.175-3,,,,,6.1.172-2
linux-firmware.spec,,20210204-1,20230320-1,20230207-2,20230207-2,,20230207-1,20230207-1,20230207-2
Linux-PAM.spec,,1.3.0-2,1.5.3-6,1.7.2-3,1.5.3-10,,1.6.1-3,1.6.1-3,1.7.2-2
Linux-PAM.spec,90,,,1.5.3-11.1.1,,,,,1.5.3-11.1.1
linux-rt.spec,,4.19.325-1,,,6.1.158-3,,6.1.83-3,6.1.83-3,
linux-rt.spec,91,,,6.1.175-3,,,,,6.1.172-2
linux-secure.spec,,4.19.325-1,5.10.258-2,,,,,,
linux-tools-90.spec,91,,,6.1.175-0.1%{?acvp_build:.acvp},,,,,
linux-tools.spec,91,,,6.1.175-1%{?acvp_build:.acvp},,,,,
linux.spec,,4.19.325-1,5.10.258-2%{?acvp_build:.acvp},6.12.92-2%{?acvp_build:.acvp},6.1.158-3%{?acvp_build:.acvp},,6.1.83-9%{?acvp_build:.acvp},6.1.83-9%{?acvp_build:.acvp},6.12.87-1%{?acvp_build:.acvp}
linux.spec,91,,,6.1.175-3%{?acvp_build:.acvp},,,,,6.1.172-1%{?acvp_build:.acvp}
linuxptp.spec,,4.0-2,4.0-1,4.2-5,4.2-2,,4.0-1,4.0-1,4.2-4
linuxptp.spec,90,,,4.2-2.1.1,,,,,
linuxptp.spec,91,,,,,,,,4.2-2.1
liota.spec,,0.4.1-3,,,,,,,
lksctp-tools.spec,,1.0.18-2,1.0.18-3,1.0.19-3,1.0.19-3,,1.0.19-2,1.0.19-2,1.0.19-3
lldb.spec,,10.0.1-5,12.0.0-3,,18.1.8-2,,15.0.7-8,15.0.7-8,
lldb.spec,90,,,18.1.8-2.1.1,,,,,
lldb.spec,91,,,,,,,,18.1.8-2.1
lldpad.spec,,1.0.1-6,1.1-2,1.1-4,1.1-4,,1.1-4,1.1-4,1.1-4
llvm.spec,,10.0.1-3,12.0.0-4,22.1.0-2,18.1.8-2,,15.0.7-5,15.0.7-5,22.1.0-1
llvm.spec,90,,,18.1.8-2.1.1,,,,,
llvm.spec,91,,,,,,,,18.1.8-2.1
lm-sensors.spec,,3.5.0-1,3.6.0-1,3.6.2-1,3.6.0-2,,3.6.0-1,3.6.0-1,3.6.0-2
lmdb.spec,,0.9.22-3,0.9.24-2,0.9.29-2,0.9.29-2,,0.9.29-1,0.9.29-1,0.9.29-2
log4cpp.spec,,1.1.3-2,1.1.3-2,1.1.6-1,1.1.3-4,,1.1.3-2,1.1.3-2,1.1.3-4
logrotate.spec,,3.14.0-1,3.21.0-1,3.22.0-3,3.22.0-2,,3.20.1-1,3.20.1-1,3.22.0-3
logstash.spec,,6.8.15-5,,,,,,,
lshw.spec,,B.02.18-1,B.02.18-1,B.02.20-1,B.02.19-4,,B.02.19-1,B.02.19-1,B.02.19-4
lsof.spec,,4.91-2,4.95.0-1,4.96.4-2,4.96.4-2,,4.96.4-1,4.96.4-1,4.96.4-2
lsscsi.spec,,0.30-1,0.31-1,0.32-2,0.32-2,,0.32-1,0.32-1,0.32-2
ltrace.spec,,0.7.3-4,0.7.3-4,0.7.3-6,0.7.3-6,,0.7.3-6,0.7.3-6,0.7.3-6
lttng-tools.spec,,2.10.9-3,2.13.8-1,2.15.0-1,2.13.8-3,,2.13.8-8,2.13.8-8,
lttng-tools.spec,90,,,2.13.8-4.0.1,,,,,2.13.8-3.1.1
lttng-ust.spec,,2.10.7-1,2.13.5-1,2.15.1-1,2.13.5-2,,2.13.5-1,2.13.5-1,
lttng-ust.spec,90,,,2.13.5-3.0.1,,,,,2.13.5-2.1.1
lua.spec,,5.3.6-1,5.4.4-3,5.4.6-3,5.4.6-3,,5.4.6-1,5.4.6-1,5.4.6-3
lvm2.spec,,2.03.10-1,2.03.10-3,2.03.39-2,2.03.16-8,,2.03.16-4,2.03.16-4,2.03.39-1
lvm2.spec,90,,,2.03.16-8.1.1,,,,,
lvm2.spec,91,,,,,,,,2.03.16-8.1
lxcfs.spec,,4.0.6-2,4.0.5-2,5.0.3-6,5.0.3-3,,5.0.3-1,5.0.3-1,5.0.3-4
lxcfs.spec,90,,,5.0.3-3.1.1,,,,,
lxcfs.spec,91,,,,,,,,5.0.3-3.1
lz4.spec,,1.9.3-2,1.10.0-1,1.10.0-1,1.10.0-1,,1.9.4-1,1.9.4-1,1.10.0-1
lzo.spec,,2.10-1,2.10-1,,2.10-3,,2.10-2,2.10-2,
lzo.spec,90,,,2.10-3.1.1,,,,,
lzo.spec,91,,,,,,,,2.10-3.1
m4.spec,,1.4.18-2,1.4.18-3,1.4.19-4,1.4.19-4,,1.4.19-1,1.4.19-1,1.4.19-4
make.spec,,4.3-1,4.3-2,4.3-5,4.3-5,,4.3-2,4.3-2,4.3-5
man-db.spec,,2.8.4-2,2.9.3-1,2.11.1-4,2.11.1-4,,2.11.1-2,2.11.1-2,2.11.1-4
man-pages.spec,,4.16-3,5.08-3,5.13-3,5.13-3,,5.13-2,5.13-2,5.13-3
mariadb.spec,,10.3.36-2,10.11.16-2,11.8.7-1,11.4.7-1,,10.9.4-14,10.9.4-14,11.4.10-2
mariadb.spec,90,,,11.4.10-2.1,,,,,
mc.spec,,4.8.25-3,4.8.33-1,4.8.33-1,4.8.33-1,,4.8.28-2,4.8.28-2,4.8.33-1
mdadm.spec,,,,4.6-1,4.4-1,,4.4-1,4.4-1,4.6-1
mdadm.spec,90,,,4.4-1.1,,,,,4.4-1.1
memcached.spec,,1.6.22-1,1.6.22-1,1.6.22-3,1.6.22-3,,1.6.15-3,1.6.15-3,1.6.22-3
mercurial.spec,,5.9.3-1,5.5.1-2,7.2.1-2,6.3.1-2,,6.3.1-1,6.3.1-1,7.2.1-1
mercurial.spec,90,,,6.3.1-2.1.1,,,,,
mercurial.spec,91,,,,,,,,6.3.1-2.1
mesa.spec,,,23.0.0-7,25.3.6-2,25.1.4-2,,23.0.0-2,23.0.0-2,25.3.6-1
mesa.spec,90,,,25.1.4-2.2.1,,,,,
mesa.spec,91,,,,,,,,25.1.4-2.2
meson.spec,,0.56.2-1,1.4.2-1,1.10.2-2,1.3.2-2,,1.0.0-2,1.0.0-2,1.10.2-1
meson.spec,90,,,1.3.2-2.1.1,,,,,
meson.spec,91,,,,,,,,1.3.2-2.1
mingetty.spec,,1.08-2,1.08-2,1.08-4,1.08-4,,1.08-3,1.08-3,1.08-4
minimal.spec,,0.1-2,4.0-1,5.0-9,5.0-5,,5.0-2,5.0-2,5.0-7
minimal.spec,90,,,5.0-6.1.1,,,,,
minimal.spec,91,,,,,,,,5.0-6.1
mkinitcpio.spec,,24-3,28-3,34-6,34-3,,34-4,34-4,34-5
mkinitcpio.spec,90,,,34-4.1.1,,,,,
mkinitcpio.spec,91,,,,,,,,34-4.1
mlocate.spec,,0.26-3,0.26-3,0.26-7,0.26-6,,0.26-4,0.26-4,0.26-7
mm-common.spec,,,1.0.2-1,1.0.5-5,1.0.5-5,,1.0.5-1,1.0.5-1,1.0.5-5
ModemManager.spec,,1.8.2-4,1.14.2-6,,1.18.12-3,,1.18.12-3,1.18.12-3,
ModemManager.spec,90,,,1.18.12-3.1.1,,,,,1.18.12-3.1.1
mokutil.spec,,,,0.7.1-2,0.7.1-2,,0.7.1-1,0.7.1-1,0.7.1-2
monitoring-plugins.spec,,2.3.1-2,2.3.1-3,2.3.5-5,2.3.5-3,,2.3.1-2,2.3.1-2,2.3.5-4
monitoring-plugins.spec,91,,,2.3.5-4.1,,,,,
motd.spec,,0.1.3-5,0.1.3-7,1.0-2,1.0-1,,1.0-1,1.0-1,1.0-2
mozjs.spec,,,78.15.0-3,140.7.0-3,102.12.0-10,,102.12.0-6,102.12.0-6,140.7.0-2
mozjs.spec,90,,,102.12.0-10.2.1,,,,,
mozjs.spec,91,,,,,,,,102.12.0-10.2
mozjs60.spec,,60.9.0-4,,,,,,,
mpc.spec,,1.1.0-2,1.1.0-2,1.3.1-4,1.3.1-4,,1.3.1-2,1.3.1-2,1.3.1-4
mpfr.spec,,4.0.2-1,4.1.0-2,4.1.0-4,4.1.0-4,,4.1.0-2,4.1.0-2,4.1.0-4
msmtp.spec,,,,1.8.32-3,,,,,1.8.32-2
msr-tools.spec,,1.3-2,1.3-2,,1.3-3,,1.3-2,1.3-2,
msr-tools.spec,90,,,1.3-3.1,,,,,1.3-3.1
mysql.spec,,8.0.36-1,8.0.46-1,8.4.9-2,8.4.4-5,,8.4.2-1,8.4.2-1,8.4.9-1
mysql.spec,90,,,8.4.9-1.1,,,,,
nano.spec,,3.0-1,8.2-1,8.2-3,8.2-3,,8.2-1,8.2-1,8.2-3
nasm.spec,,2.16.01-1,2.16.01-1,2.16.01-4,2.16.01-4,,2.16.01-1,2.16.01-1,2.16.01-4
ncurses.spec,,6.1-5,6.5-2,6.5-2,6.5-1,,6.4-2,6.4-2,6.5-2
ndctl.spec,,62-1,69-1,74-5,74-4,,74-1,74-1,74-5
ndisc6.spec,,,,1.0.8-2,,,,,1.0.8-1
ndsend.spec,,1.0.0-1,1.0.0-1,,,,,,
nerdctl.spec,,1.4.0-7,1.4.0-10,1.4.0-16,1.4.0-14,,1.4.0-8,1.4.0-8,1.4.0-16
net-snmp.spec,,5.8-11,5.8-13,5.9.5.2-5,5.9.3-4,,5.9.3-2,5.9.3-2,5.9.5.2-3
net-snmp.spec,90,,,5.9.5.2-1.2.1,,,,,
net-snmp.spec,91,,,5.9.5.2-4.1,,,,,5.9.5.2-1.2
net-tools.spec,,1.60-12,1.60-13,2.10-3,2.10-2,,2.10-1,2.10-1,
net-tools.spec,91,,,,,,,,2.10-2.1
netcat.spec,,0.7.1-5,0.7.1-6,1.228-3,1.228-1,,1.228-2,1.228-2,1.228-2
netcat.spec,90,,,1.228-2.1,,,,,
netkit-telnet.spec,,0.17-4,0.17-5,,0.17-8,,0.17-4,0.17-4,
netkit-telnet.spec,90,,,0.17-8.1,,,,,0.17-8.1
netmgmt.spec,,1.2.0-7,1.2.0-9,,,,,,
nettle.spec,,3.7.2-2,3.10.2-1,3.10.2-1,3.8.1-3,,3.9.1-1,3.9.1-1,3.10.2-1
network-config-manager.spec,,,0.6.4-3,0.7.4-3,0.7.4-3,,0.7.3-2,0.7.3-2,0.7.4-3
network-event-broker.spec,,0.3-9,0.3-12,0.3-18,0.3-17,,0.3-9,0.3-9,0.3-18
newt.spec,,0.52.21-1,0.52.21-1,0.52.21-2,0.52.21-2,,0.52.21-1,0.52.21-1,0.52.21-2
nfs-utils.spec,,2.3.3-8,2.5.1-7,2.9.1-2,2.6.2-11,,2.6.2-10,2.6.2-10,2.9.1-1
nfs-utils.spec,90,,,2.6.2-11.1.1,,,,,
nfs-utils.spec,91,,,,,,,,2.6.2-11.1
nftables.spec,,0.9.6-2,1.0.1-3,1.1.6-2,1.0.6-6,,1.0.6-3,1.0.6-3,1.1.6-1
nftables.spec,90,,,1.0.6-6.1.1,,,,,
nftables.spec,91,,,,,,,,1.0.6-6.1
nghttp2.spec,,1.57.0-2,1.57.0-3,1.57.0-5,1.57.0-4,,1.48.0-7,1.48.0-7,1.57.0-5
nginx-ingress.spec,,3.2.0-6,2.3.0-17,2.4.2-19,2.4.2-17,,2.4.2-8,2.4.2-8,2.4.2-19
