Spec,SubRelease,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master,photon-main
bridge-utils.spec,90,,,1.7.1-2.1.1,,,,,
bridge-utils.spec,91,,,,,,,,1.7.1-2.1
btrfs-progs.spec,,4.19-1,5.7-3,7.0-1,6.1.3-2,,6.1.3-1,6.1.3-1,6.1.3-5
btrfs-progs.spec,90,,,6.1.3-2.1.1,,,,,
btrfs-progs.spec,91,,,,,,,,6.1.3-2.1
bubblewrap.spec,,0.3.0-3,0.4.1-1,,0.7.0-2,,0.7.0-1,0.7.0-1,
bubblewrap.spec,90,,,0.7.0-3.1,,,,,0.7.0-3.1
build-essential.spec,,0.1-3,0.1-4,0.1-6,0.1-6,,0.1-4,0.1-4,0.1-6
byacc.spec,,2.0.20220128-1,2.0.20220128-1,2.0.20221106-2,2.0.20221106-2,,2.0.20221106-1,2.0.20221106-1,2.0.20221106-2
bzip2.spec,,1.0.8-2,1.0.8-4,1.0.8-7,1.0.8-7,,1.0.8-5,1.0.8-5,1.0.8-7
bzr.spec,,2.7.0-3,,,,,,,
c-ares.spec,,1.19.1-2,1.19.1-2,1.34.6-2,1.19.1-3,,1.18.1-1,1.18.1-1,1.34.6-1
c-ares.spec,90,,,1.19.1-3.1.1,,,,,
c-ares.spec,91,,,,,,,,1.19.1-3.1
c-rest-engine.spec,,1.2-5,1.2-8,,,,,,
ca-certificates-nxtgn-openssl.spec,,20200811-1,,,,,,,
ca-certificates.spec,,20190521-3,20260409-1,20260414-2,20250612-1,,20230315-8,20230315-8,20260414-2
cairo.spec,,1.16.0-4,1.17.2-11,1.17.6-14,1.17.6-12,,1.17.6-11,1.17.6-11,1.17.6-14
calico-bgp-daemon.spec,,0.2.2-30,0.2.2-29,,0.2.2-24,,0.2.2-16,0.2.2-16,
calico-bgp-daemon.spec,90,,,0.2.2-25.1.1,,,,,0.2.2-25.1.1
calico-bird.spec,,0.3.3-2,0.3.3-3,0.3.3-4,0.3.3-4,,0.3.3-3,0.3.3-3,0.3.3-4
calico-confd.spec,,,,,,,0.16.0-15,0.16.0-15,
calico-libnetwork.spec,,1.1.0-32,1.1.3-28,1.1.3-27,1.1.3-25,,1.1.3-16,1.1.3-16,1.1.3-26
calico-libnetwork.spec,90,,,1.1.3-26.1,,,,,
calico.spec,,3.26.1-7,3.26.4-5,3.32.0-1,3.26.4-9,,3.26.4-1,3.26.4-1,3.31.0-2
calico.spec,90,,,3.31.0-2.1,,,,,
capstone.spec,,4.0.2-1,4.0.2-2,4.0.2-3,4.0.2-2,,4.0.2-1,4.0.2-1,4.0.2-3
cassandra.spec,,3.11.12-3,4.0.10-5,4.0.10-8,4.0.10-8,,4.0.10-1,4.0.10-1,4.0.10-8
cbindgen.spec,,,,0.29.2-2,,,,,0.29.2-1
cdrkit.spec,,1.1.11-5,1.1.11-5,1.1.11-6,1.1.11-6,,1.1.11-5,1.1.11-5,1.1.11-6
cereal.spec,,,1.3.2-1,1.3.2-2,1.3.2-2,,1.3.2-1,1.3.2-1,1.3.2-2
cgroup-utils.spec,,0.6-6,0.8-4,,,,,,
check.spec,,0.12.0-1,0.15.2-2,0.15.2-5,0.15.2-5,,0.15.2-2,0.15.2-2,0.15.2-5
checkpolicy.spec,,,3.3-1,3.10-2,3.4-2,,3.5-1,3.5-1,3.10-1
checkpolicy.spec,90,,,3.4-2.1.1,,,,,
checkpolicy.spec,91,,,,,,,,3.4-2.1
