Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
libnetfilter_conntrack.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://www.netfilter.org/projects/libnetfilter_conntrack/files/libnetfilter_conntrack-1.0.9.tar.xz,200,1.1.1,https://www.netfilter.org/projects/libnetfilter_conntrack/files/libnetfilter_conntrack-1.1.1.tar.xz,200,libnetfilter_conntrack,47B7E1C187C9D1EC52777BA08D636A8178F811816B7D5EAE28EF7680E2D4516428445572E655A2B60E8F3AF1C6788268CFA16532E4A2BA761F8BA55BB3969870,libnetfilter_conntrack-1.1.1.tar.xz,,
libnetfilter_cthelper.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://www.netfilter.org/projects/libnetfilter_cthelper/files/libnetfilter_cthelper-1.0.1.tar.bz2,200,(same version),,,libnetfilter_cthelper,,,,
libnetfilter_cttimeout.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://www.netfilter.org/projects/libnetfilter_cttimeout/files/libnetfilter_cttimeout-1.0.1.tar.bz2,200,(same version),,,libnetfilter_cttimeout,,,,
libnetfilter_queue.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://www.netfilter.org/projects/libnetfilter_queue/files/libnetfilter_queue-1.0.5.tar.bz2,200,(same version),,,libnetfilter_queue,,,,
libnfnetlink.spec,http://www.netfilter.org/projects/%{name}/files/%{name}-%{version}.tar.bz2,https://www.netfilter.org/projects/libnfnetlink/files/libnfnetlink-1.0.2.tar.bz2,200,(same version),,,libnfnetlink,,,,
libnftnl.spec,https://netfilter.org/projects/libnftnl/files/%{name}-%{version}.tar.bz2,https://www.netfilter.org/projects/libnftnl/files/libnftnl-1.2.4.tar.xz,200,1.3.1,https://www.netfilter.org/projects/libnftnl/files/libnftnl-1.3.1.tar.xz,200,libnftnl,A4E689B003CC2AE2ECF203335265F337D6DE7A50AF5410D649A567535C109D08EE9DBAE9E8572B1AF8C67F09EA27877CA059E04ED3B1C12183EF7B4185BDD10F,libnftnl-1.3.1.tar.xz,,
libnl.spec,https://github.com/thom311/libnl/releases/download/libnl3_5_0/%{name}-%{version}.tar.gz,https://github.com/thom311/libnl/archive/refs/tags/libnl3.7.0.tar.gz,200,3.12.0,https://github.com/thom311/libnl/archive/refs/tags/libnl3_12_0.tar.gz,200,libnl,38E1B7F1556CCA04FFFCD0A31404C4C317F4D09FE0485E2F7C55C74E6049A6E49E774A43B04A64EF56983CC4BAD1809250D0464921E530A751E48F7017D19B1E,libnl3_12_0.tar.gz,,
libnsl.spec,https://github.com/thkukuk/libnsl/archive/v%{version}/libnsl-%{version}.tar.gz,https://github.com/thkukuk/libnsl/archive/v2.0.0/libnsl-2.0.0.tar.gz,200,2.0.1,https://github.com/thkukuk/libnsl/archive/v2.0.1/libnsl-2.0.1.tar.gz,200,libnsl,1D9290C3123C0933F156808C388654698F7D6994C625CBBC492CC07D656B996C62847048B14B93B8EDA632945096ACE418A3418EE1F40FF2CC748A3278F987A4,libnsl-2.0.1.tar.gz,,
libnss-ato.spec,%{name}-%{version}.tar.gz,https://github.com/donapieppo/libnss-ato/archive/refs/tags/v20240514.tar.gz,200,,,,libnss-ato,,,,
libnvme.spec,https://github.com/linux-nvme/libnvme/archive/v%{version}/%{name}-%{version}.tar.gz,https://github.com/linux-nvme/libnvme/archive/refs/tags/v1.3.tar.gz,200,1.16.2,https://github.com/linux-nvme/libnvme/archive/refs/tags/v1.16.2.tar.gz,200,libnvme,E3A4B6D4906E7DC5F894042ADC6490BC7E71BF096D39F216C8C742BC5C527A701A87CB3EE8EEA305FA557D1B312513C3394F7D6030000E320A2D668C53215FB5,libnvme-1.16.2.tar.gz,,
libpcap.spec,http://www.tcpdump.org/release/%{name}-%{version}.tar.gz,https://github.com/the-tcpdump-group/libpcap/archive/refs/tags/libpcap-1.10.1.tar.gz,200,1.10.6,https://github.com/the-tcpdump-group/libpcap/archive/refs/tags/libpcap-1.10.6.tar.gz,200,libpcap,EB0A627CABDC4FAB8F56E81065469A6FAD713681D06C43E7A3080896CAD3925E8B22C6957FCC0439E9229B3EBF21AF55D22CD89C8494342E4188BB0AC193C7AB,libpcap-1.10.6.tar.gz,,
libpciaccess.spec,http://ftp.x.org/pub/individual/lib/%{name}-%{version}.tar.bz2,http://ftp.x.org/pub/individual/lib/libpciaccess-0.16.tar.bz2,200,0.19,http://ftp.x.org/pub/individual/lib/libpciaccess-0.19.tar.xz,200,libpciaccess,A20EA0EF3D650E2CDC18423EA4770780CE273C35115EECE85DBBB59E5F2E24BDBAF88E53B1648F2C5D4FA34B015A3FE8318721BF5655A86A835DB323E6ECD4F7,libpciaccess-0.19.tar.xz,Info: Packaging format .tar.bz2 has changed to .tar.xz,
libpipeline.spec,http://download.savannah.gnu.org/releases/libpipeline/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5.6.tar.gz,200,1.5.8,http://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5.8.tar.gz,200,libpipeline,0AE94DF4BD508F0E664FA5430687D64904C60D69D9565C18CACB70251F8653CB7C571325D1406C859FDD149048ADCE8C4B3BF028573064496D7DA3436E27B9B0,libpipeline-1.5.8.tar.gz,,
libpng.spec,http://downloads.sourceforge.net/libpng/%{name}-%{version}.tar.xz,http://downloads.sourceforge.net/libpng/libpng-1.6.38.tar.xz,200,1.6.58,http://downloads.sourceforge.net/libpng/libpng-1.6.58.tar.xz,200,libpng,D87A93081A49590C0F5EF705C6749918EBE846AE3B265484DDD4F2FAB799D2A03AF9C6117F994BB98DAD1875040EF99704AE9422A96B9AF8A56EEB9DE5FE502F,libpng-1.6.58.tar.xz,,
libpsl.spec,https://github.com/rockdaboot/libpsl/releases/download/%{name}-%{version}/%{name}-%{version}.tar.gz,https://github.com/rockdaboot/libpsl/archive/refs/tags/0.21.1.tar.gz,200,0.23.0,https://github.com/rockdaboot/libpsl/archive/refs/tags/0.23.0.tar.gz,200,libpsl,7176512B9A10D1ED5AAAA024E1B159D0241810E1AA70EEAA64A79C462D5ED34091A8E908B506EDA1109883CA254BC77512ACE470CA9337B4DB64EDB0D9B46D87,libpsl-0.23.0.tar.gz,,
libpwquality.spec,https://github.com/libpwquality/libpwquality/releases/download/libpwquality-%{version}/libpwquality-%{version}.tar.bz2,https://github.com/libpwquality/libpwquality/releases/download/libpwquality-1.4.4/libpwquality-1.4.4.tar.bz2,200,1.4.5,https://github.com/libpwquality/libpwquality/releases/download/libpwquality-1.4.5/libpwquality-1.4.5.tar.bz2,200,libpwquality,91A6FEBBF40047E553B6051DF727857DF7932C816638F15118A46B8286527A80446CA4F6A050D2B1F4E33335BF4B75290751CE358FA477CB9D06FE89A450D647,libpwquality-1.4.5.tar.bz2,,
libqmi.spec,https://www.freedesktop.org/software/libqmi/libqmi-%{version}.tar.xz,https://gitlab.freedesktop.org/mobile-broadband/libqmi/-/archive/1.30.4/libqmi-1.30.4.tar.xz,200,1.38.0,https://gitlab.freedesktop.org/mobile-broadband/libqmi/-/archive/1.38.0/libqmi-1.38.0.tar.xz,200,libqmi,,libqmi-1.38.0.tar.xz,,
librdkafka.spec,%{name}-%{version}.tar.gz,https://github.com/confluentinc/librdkafka/archive/refs/tags/v1.8.2.tar.gz,200,2.15.0,https://github.com/confluentinc/librdkafka/archive/refs/tags/v2.15.0.tar.gz,200,librdkafka,6DA35F2D5B439451120A69E0AA41729EE9C7E5799A865B0354E980DC85E88B0D258B3E0E32231AC38A48BDB7A62620933A5D9651C94097A2F562415C12DAFC90,librdkafka-2.15.0.tar.gz,,
librelp.spec,http://download.rsyslog.com/librelp/%{name}-%{version}.tar.gz,https://download.rsyslog.com/librelp/librelp-1.10.0.tar.gz,200,1.12.0,https://download.rsyslog.com/librelp/librelp-1.12.0.tar.gz,200,librelp,16C5014202656AA9B1B164A863B5C170DA0F2CDA1308F44A09E0E7CD2163A2E364CAC95779D061031DBF1A6DA929A296739BA6D012787FC7C58BC0E59D37C3F7,librelp-1.12.0.tar.gz,,
librepo.spec,https://github.com/rpm-software-management/librepo/archive/%{name}-%{version}.tar.gz,https://github.com/rpm-software-management/librepo/archive/refs/tags/1.14.5.tar.gz,200,1.20.0,https://github.com/rpm-software-management/librepo/archive/refs/tags/1.20.0.tar.gz,200,librepo,994B7C17B57D6AE28C09FC9F3463647BDE8BB3AC74CA156DF28FADC2AC8D3E49DD8B5F42D90759B4EAAB84804489E6740D9AD7FDB011090FB3AA6F19CF603123,librepo-1.20.0.tar.gz,,
libretls.spec,https://causal.agency/libretls/%{name}-%{version}.tar.gz,https://causal.agency/libretls/libretls-3.8.1.tar.gz,200,(same version),,,libretls,,,,
librsync.spec,%{name}-%{version}.tar.gz,https://github.com/librsync/librsync/archive/refs/tags/v2.3.2.tar.gz,200,2.3.4,https://github.com/librsync/librsync/archive/refs/tags/v2.3.4.tar.gz,200,librsync,AC01413B875E774DB9FEC3888210A4B9A5F3D32C081F1ED5F2CF9DC29CFAE6ECEDF6EAC42062631E6DCF188853313FCE4520430549768A0F68993419B07E58D9,librsync-2.3.4.tar.gz,,
