Spec,photon-1.0,photon-2.0,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master
ipxe.spec,553f485-1,553f485-2,20180717-2,1.20.1-3,1.21.1-6,1.21.1-6,,1.21.1-5,1.21.1-5
irqbalance.spec,1.1.0-4,1.2.0-1,1.4.0-6,1.7.0-4,1.9.2-2,1.9.2-2,,1.9.2-1,1.9.2-1
itstool.spec,2.0.2-4,2.0.2-5,2.0.6-2,2.0.6-4,2.0.7-5,2.0.7-5,,2.0.7-3,2.0.7-3
ivykis.spec,,,,0.42.4-1,0.42.4-2,0.42.4-2,,0.42.4-1,0.42.4-1
jansson.spec,2.9-1,2.10-1,2.11-1,2.13.1-1,2.13.1-2,2.13.1-2,,2.13.1-1,2.13.1-1
jaxws-ri.spec,2.2.10-3,,,,,,,,
jc.spec,,,,1.23.6-1,1.23.6-3,1.23.6-3,,1.23.6-2,1.23.6-2
jemalloc.spec,,4.5.0-1,4.5.0-1,5.2.1-1,5.3.0-2,5.3.0-2,,5.3.0-1,5.3.0-1
jna.spec,4.2.1-12,4.4.0-10,4.5.2-6,5.6.0-6,5.12.1-5,5.12.1-5,,5.12.1-4,5.12.1-4
jq.spec,,1.5-4,1.5-4,1.6-3,1.6-4,1.6-4,,1.6-3,1.6-3
js.spec,1.8.5-1,1.8.5-1,1.8.5-3,,,,,,
json_spirit.spec,4.08-2,4.08-3,4.08-4,4.08-3,,,,,
json-c.spec,0.13.1-1,0.13.1-1,0.13.1-4,0.15-4,0.16-2,0.16-2,,0.16-1,0.16-1
json-glib.spec,1.0.4-2,1.2.8-1,1.4.4-3,1.6.0-4,1.6.6-4,1.6.6-3,,1.6.6-2,1.6.6-2
jsoncpp.spec,,,1.7.7-2,1.9.4-3,1.9.5-3,1.9.5-3,,1.9.5-2,1.9.5-2
kafka.spec,,,3.4.0-2,3.4.0-4,3.4.0-9,3.4.0-7,,3.4.0-1,3.4.0-1
kapacitor.spec,,1.5.1-16,1.5.0-30,1.5.6-26,1.6.6-14,1.6.6-12,,1.6.6-6,1.6.6-6
kbd.spec,2.0.3-2,2.0.4-3,2.0.4-4,2.3.0-2,2.2.0-3,2.2.0-3,,2.2.0-1,2.2.0-1
keepalived.spec,2.0.16-2,2.0.16-2,2.2.7-1,2.2.7-2,2.2.7-4,2.2.7-4,,2.2.7-3,2.2.7-3
kexec-tools.spec,2.0.11-2,2.0.14-1,2.0.20-1,2.0.20-2,2.0.25-4,2.0.25-4,,2.0.25-3,2.0.25-3
keyutils.spec,,1.5.10-1,1.5.11-1,1.6.1-1,1.6.1-3,1.6.1-3,,1.6.1-2,1.6.1-2
kibana.spec,6.8.15-1,6.8.15-1,6.8.15-1,,,,,,
kmod.spec,21-4,24-3,25-1,27-1,30-6,30-6,,30-5,30-5
kpatch.spec,,,0.9.8-1,0.9.8-2,0.9.8-4,0.9.8-2,,0.9.8-5,0.9.8-5
krb5.spec,1.17-2,1.17-2,1.17-7,1.17-12,1.20.2-6,1.20.2-6,,1.20.2-4,1.20.2-4
kube-bench.spec,,,0.6.12-6,0.6.12-8,0.6.12-14,0.6.12-12,,0.6.12-7,0.6.12-7
kube-controllers.spec,,,3.6.1-29,,,,,,
kubernetes-dashboard.spec,1.8.3-7,1.10.1-20,2.7.0-6,2.7.0-14,2.7.0-21,2.7.0-21,,2.7.0-13,2.7.0-13
kubernetes-dns.spec,1.14.8-6,1.21.2-7,1.22.23-6,1.22.20-8,1.22.20-13,1.22.20-13,,1.22.20-7,1.22.20-7
kubernetes-metrics-server.spec,,0.2.1-15,0.2.1-29,0.3.7-26,0.3.7-20,0.3.7-20,,0.3.7-14,0.3.7-14
kubernetes.spec,1.17.11-7,1.23.2-7,1.27.13-2,1.27.13-4,1.27.13-8,1.27.13-7,,1.27.13-1,1.27.13-1
lapack.spec,,3.7.1-1,3.8.0-3,3.9.0-2,3.11.0-2,3.11.0-2,,3.11.0-1,3.11.0-1
lasso.spec,,,,2.8.0-2,2.8.0-5,2.8.0-5,,2.8.0-8,2.8.0-8
less.spec,481-3,487-2,530-3,654-1,654-3,654-3,,608-3,608-3
leveldb.spec,1.19-3,1.20-2,1.20-2,1.22-3,1.23-7,1.23-7,,1.23-6,1.23-6
libaio.spec,0.3.110-2,0.3.110-2,0.3.110-3,0.3.110-3,0.3.110-4,0.3.110-4,,0.3.110-3,0.3.110-3
libarchive.spec,3.3.1-5,3.3.3-1,3.3.3-9,3.4.3-10,3.7.1-5,3.7.1-5,,3.7.4-1,3.7.4-1
libassuan.spec,2.5.1-1,2.5.1-1,2.5.1-1,2.5.3-2,2.5.5-4,2.5.5-4,,2.5.5-3,2.5.5-3
libatomic_ops.spec,,7.4.4-1,7.6.8-2,7.6.10-2,7.6.14-3,7.6.14-3,,7.6.14-1,7.6.14-1
libbpf.spec,,,,1.1.0-1,1.2.2-2,1.2.2-2,,1.2.2-1,1.2.2-1
libcalico.spec,0.19.0-2,0.19.0-2,0.19.0-3,,,,,,
libcap-ng.spec,0.7.7-4,0.7.8-2,0.7.10-2,0.8-2,0.8.3-4,0.8.3-4,,0.8.3-3,0.8.3-3
libcap.spec,2.25-2,2.25-7,2.25-8,2.43-3,2.66-4,2.66-4,,2.66-1,2.66-1
libcbor.spec,,,,,0.9.0-3,0.9.0-3,,0.9.0-2,0.9.0-2
libcgroup.spec,,,3.0.0-1,3.0.0-2,3.0.0-2,3.0.0-2,,3.0.0-1,3.0.0-1
libconfig.spec,,,,1.7.2-1,1.7.3-2,1.7.3-2,,1.7.3-2,1.7.3-2
libdaemon.spec,,,0.14-2,0.14-2,0.14-4,0.14-4,,0.14-3,0.14-3
libdb.spec,5.3.28-1,5.3.28-1,5.3.28-2,,,,,,
libdnet.spec,1.11-2,1.11-5,1.11-6,1.11-7,1.11-8,1.11-8,,1.11-7,1.11-7
libdrm.spec,,,,2.4.110-3,2.4.113-4,2.4.113-3,,2.4.113-2,2.4.113-2
libecap.spec,,,1.0.1-1,1.0.1-1,1.0.1-2,1.0.1-2,,1.0.1-2,1.0.1-2
libedit.spec,,,3.1.20180525-2,3.1.20210910-2,3.1.20221030-3,3.1.20221030-3,,3.1.20221030-2,3.1.20221030-2
libepoxy.spec,,,,1.5.10-3,1.5.10-4,1.5.10-3,,1.5.10-3,1.5.10-3
libestr.spec,0.1.10-2,0.1.10-2,0.1.11-2,0.1.11-2,0.1.11-3,0.1.11-3,,0.1.11-2,0.1.11-2
libev.spec,,4.24-1,4.24-2,4.33-3,4.33-3,4.33-3,,4.33-3,4.33-3
libevent.spec,2.1.8-1,2.1.8-1,2.1.12-1,2.1.12-1,2.1.12-2,2.1.12-2,,2.1.12-2,2.1.12-2
libfastjson.spec,0.99.8-1,0.99.8-1,0.99.8-1,0.99.8-1,0.99.9-2,0.99.9-2,,0.99.9-1,0.99.9-1
libffi.spec,3.2.1-2,3.2.1-5,3.2.1-6,3.3-1,3.4.2-3,3.4.2-3,,3.4.2-2,3.4.2-2
libfido2.spec,,,,,1.12.0-2,1.12.0-2,,1.12.0-1,1.12.0-1
libfontenc.spec,,,1.1.2-1,1.1.2-1,1.1.2-3,1.1.2-3,,1.1.2-2,1.1.2-2
libgcrypt.spec,1.7.6-8,1.8.8-1,1.8.8-2,1.9.4-2,1.10.1-5,1.10.1-5,,1.10.1-3,1.10.1-3
libgd.spec,,2.2.5-12,2.3.3-2,2.3.3-2,2.3.3-8,2.3.3-8,,2.3.3-6,2.3.3-6
libglvnd.spec,,,,1.4.0-3,1.4.0-5,1.4.0-4,,1.4.0-6,1.4.0-6
libgpg-error.spec,1.27-1,1.27-2,1.32-2,1.39-1,1.46-3,1.46-3,,1.46-1,1.46-1
libgssflue.spec,,0.4-1,,,,,,,
libgssglue.spec,,,0.4-3,0.4-3,0.4-4,0.4-4,,0.4-3,0.4-3
libgsystem.spec,2015.1-2,2015.2-1,2015.2-3,,,,,,
libgudev.spec,230-3,231-1,232-2,234-3,237-3,237-2,,237-1,237-1
libhif.spec,0.2.2-4,0.2.3-2,,,,,,,
libhugetlbfs.spec,,,2.22-1,2.23-2,2.23-4,2.23-4,,2.23-3,2.23-3
libical.spec,,,3.0.7-2,3.0.8-6,3.0.14-6,3.0.14-6,,3.0.14-7,3.0.14-7
libICE.spec,,,,,1.1.1-2,1.1.1-2,,1.1.1-1,1.1.1-1
libjpeg-turbo.spec,2.1.0-1,2.1.0-1,2.1.0-3,2.1.0-2,2.1.4-3,2.1.4-3,,2.1.4-2,2.1.4-2
libksba.spec,1.3.4-1,1.3.5-2,1.3.5-3,1.4.0-4,1.6.3-2,1.6.3-2,,1.6.2-3,1.6.2-3
libldb.spec,,,2.6.2-1,2.7.2-2,2.7.2-3,2.7.2-3,,2.6.1-3,2.6.1-3
liblogging.spec,1.0.5-2,1.0.6-1,1.0.6-2,1.0.6-2,1.0.6-3,1.0.6-3,,1.0.6-2,1.0.6-2
libmbim.spec,,,1.16.2-3,1.24.2-6,1.26.2-6,1.26.2-6,,1.26.2-5,1.26.2-5
libmetalink.spec,,,0.1.3-2,,,,,,
libmicrohttpd.spec,,,,0.9.76-2,0.9.76-4,0.9.76-4,,0.9.76-2,0.9.76-2
libmnl.spec,1.0.4-1,1.0.4-2,1.0.4-4,1.0.4-4,1.0.5-3,1.0.5-3,,1.0.5-2,1.0.5-2
libmodulemd.spec,,,2.4.0-5,2.13.0-6,2.14.0-6,2.14.0-5,,2.14.0-6,2.14.0-6
libmspack.spec,0.7.1alpha-3,0.7.1alpha-2,0.10.1alpha-2,0.10.1alpha-3,0.10.1alpha-3,0.10.1alpha-3,,0.10.1alpha-2,0.10.1alpha-2
libndp.spec,,,,,1.8-3,1.8-3,,,
libnetconf2.spec,,,,2.1.18-3,2.1.18-5,2.1.18-5,,2.1.18-5,2.1.18-5
libnetfilter_conntrack.spec,1.0.6-1,1.0.7-1,1.0.8-2,1.0.8-2,1.0.9-3,1.0.9-3,,1.0.9-3,1.0.9-3
libnetfilter_cthelper.spec,1.0.0-1,1.0.0-1,1.0.0-1,1.0.0-2,1.0.1-2,1.0.1-2,,1.0.1-1,1.0.1-1
libnetfilter_cttimeout.spec,1.0.0-1,1.0.0-1,1.0.0-1,1.0.0-1,1.0.1-2,1.0.1-2,,1.0.1-1,1.0.1-1
libnetfilter_queue.spec,1.0.2-1,1.0.2-1,1.0.5-2,1.0.5-2,1.0.5-4,1.0.5-4,,1.0.5-4,1.0.5-4
libnfnetlink.spec,1.0.1-1,1.0.1-1,1.0.1-1,1.0.1-1,1.0.2-2,1.0.2-2,,1.0.2-1,1.0.2-1
libnfsidmap.spec,,0.25-1,,,,,,,
libnftnl.spec,,,1.1.8-1,1.2.1-1,1.2.4-2,1.2.4-2,,1.2.4-2,1.2.4-2
libnl.spec,3.2.27-2,3.2.29-1,3.4.0-3,3.5.0-3,3.7.0-3,3.7.0-3,,3.7.0-3,3.7.0-3
libnsl.spec,,,1.2.0-2,1.3.0-2,2.0.0-4,2.0.0-4,,2.0.0-3,2.0.0-3
libnss-ato.spec,2.3.6-2,2.3.6-3,2.3.6-3,20201005-2,20240514-4,20240514-4,,20240514-3,20240514-3
libnvme.spec,,,,,1.3-3,1.3-2,,1.3-3,1.3-3
libpcap.spec,1.9.1-1,1.9.1-1,1.9.1-1,1.10.0-1,1.10.1-2,1.10.1-2,,1.10.1-1,1.10.1-1
libpciaccess.spec,,,,0.13.3-1,0.16-2,0.16-2,,0.16-1,0.16-1
libpipeline.spec,1.4.1-2,1.4.1-2,1.5.3-2,1.5.3-2,1.5.6-3,1.5.6-3,,1.5.6-1,1.5.6-1
libpng.spec,1.6.35-1,1.6.35-1,1.6.40-1,1.6.37-2,1.6.38-2,1.6.38-2,,1.6.38-1,1.6.38-1
libpsl.spec,0.20.2-1,0.20.2-3,0.20.2-4,0.21.1-3,0.21.1-8,0.21.1-8,,0.21.1-7,0.21.1-7
libpwquality.spec,,,1.4.2-1,1.4.2-3,1.4.4-5,1.4.4-5,,1.4.4-3,1.4.4-3
libqmi.spec,,,1.20.2-3,1.26.10-1,1.30.4-5,1.30.4-5,,1.30.4-4,1.30.4-4
librdkafka.spec,,,1.5.0-1,1.5.0-3,1.8.2-3,1.8.2-3,,1.8.2-1,1.8.2-1
librelp.spec,1.2.17-1,1.2.17-1,1.2.18-2,1.8.0-5,1.10.0-6,1.10.0-6,,1.10.0-5,1.10.0-5
librepo.spec,1.7.17-3,1.7.20-2,1.10.2-6,1.14.2-7,1.14.5-6,1.14.5-6,,1.14.5-7,1.14.5-7
librpcsecgss.spec,,0.19-1,,,,,,,
librsync.spec,2.0.0-1,2.0.0-2,2.0.2-2,2.3.1-2,2.3.2-3,2.3.2-3,,2.3.2-2,2.3.2-2
libseccomp.spec,2.4.0-1,2.4.0-1,2.4.0-3,2.5.0-3,2.5.4-4,2.5.4-4,,2.5.4-2,2.5.4-2
libselinux.spec,2.6-2,2.6-4,2.8-2,3.3-1,3.4-5,3.5-3,,3.5-4,3.5-4
libsemanage.spec,,,,3.3-1,3.4-4,3.5-2,,3.5-1,3.5-1
libsepol.spec,2.5-3,2.6-2,2.8-2,3.3-1,3.4-4,3.5-2,,3.5-1,3.5-1
libsigc++.spec,2.6.2-2,2.10.0-1,2.10.0-2,3.0.4-4,3.2.0-2,3.2.0-2,,3.2.0-1,3.2.0-1
libslirp.spec,,,4.7.0-2,4.7.0-3,4.7.0-3,4.7.0-2,,4.7.0-1,4.7.0-1
libSM.spec,,,,,1.2.4-2,1.2.4-2,,1.2.4-1,1.2.4-1
libsodium.spec,,,1.0.18-2,1.0.18-2,1.0.18-3,1.0.18-3,,1.0.18-2,1.0.18-2
libsolv.spec,0.6.19-8,0.6.26-6,0.6.35-8,0.7.19-6,0.7.22-6,0.7.22-6,,0.7.25-2,0.7.25-2
libsoup.spec,2.68.2-1,2.68.2-2,2.64.0-13,2.72.0-15,3.2.1-18,3.2.1-16,,3.2.1-18,3.2.1-18
libssh.spec,,,0.9.8-1,0.10.6-1,0.10.6-2,0.10.6-2,,0.10.5-3,0.10.5-3
libssh2.spec,1.9.0-2,1.9.0-2,1.11.0-1,1.11.0-2,1.11.0-4,1.11.0-4,,1.10.0-4,1.10.0-4
libtalloc.spec,,2.1.9-2,2.3.4-1,2.4.0-1,2.4.0-2,2.4.0-2,,2.4.0-1,2.4.0-1
libtar.spec,1.2.20-3,1.2.20-6,1.2.20-6,1.2.20-6,1.2.20-8,1.2.20-8,,1.2.20-6,1.2.20-6
libtasn1.spec,4.14-1,4.14-2,4.14-2,4.14-2,4.19.0-3,4.19.0-3,,4.19.0-1,4.19.0-1
libtdb.spec,,,1.4.7-1,1.4.8-1,1.4.8-3,1.4.8-3,,1.4.8-1,1.4.8-1
libteam.spec,,,1.31-2,1.31-2,1.31-4,1.31-4,,1.31-4,1.31-4
libtevent.spec,,,0.13.0-1,0.14.1-1,0.14.1-2,0.14.1-2,,0.14.1-1,0.14.1-1
libtiff.spec,,4.4.0-7,4.5.1-6,4.5.1-6,4.5.1-7,4.5.1-6,,4.5.1-3,4.5.1-3
libtirpc.spec,1.0.1-5,1.0.1-9,1.1.4-3,1.2.6-4,1.3.3-4,1.3.3-4,,1.3.3-3,1.3.3-3
libtool.spec,2.4.6-2,2.4.6-3,2.4.6-3,2.4.6-3,2.4.7-3,2.4.7-3,,2.4.7-1,2.4.7-1
libtraceevent.spec,,,,,1.6.3-2,1.6.3-2,,1.6.3-1,1.6.3-1
libtracefs.spec,,,,,1.5.0-2,1.5.0-2,,1.5.0-1,1.5.0-1
libunistring.spec,0.9.6-2,0.9.7-1,0.9.10-2,0.9.10-2,1.0-4,1.0-4,,1.0-2,1.0-2
libunwind.spec,1.2-1,1.2-2,1.2.1-1,1.4.0-2,1.6.2-2,1.6.2-2,,1.6.2-1,1.6.2-1
libusb.spec,,,,1.0.23-2,1.0.26-3,1.0.26-3,,1.0.26-2,1.0.26-2
libuv.spec,1.34.2-1,1.34.2-1,1.34.2-4,1.45.0-2,1.44.2-3,1.44.2-3,,1.44.2-1,1.44.2-1
libvirt.spec,3.2.0-8,3.2.0-10,4.7.0-14,7.10.0-12,9.3.0-11,9.3.0-10,,8.10.0-7,8.10.0-7
libwebp.spec,,1.0.3-3,1.0.3-8,1.1.0-7,1.3.2-3,1.3.2-3,,1.3.2-1,1.3.2-1
libX11.spec,,,1.8.5-2,1.8.5-2,1.8.5-3,1.8.5-3,,1.8.5-1,1.8.5-1
libXau.spec,,,1.0.9-1,1.0.9-1,1.0.9-2,1.0.9-2,,1.0.9-1,1.0.9-1
libxcb.spec,,,1.15-1,1.15-1,1.15-2,1.15-2,,1.15-1,1.15-1
libXcomposite.spec,,,,0.4.5-2,0.4.5-3,0.4.5-3,,0.4.5-2,0.4.5-2
libxcrypt.spec,,,,,4.4.36-3,4.4.36-3,,4.4.36-3,4.4.36-3
libXcursor.spec,,,,1.2.1-2,1.2.1-3,1.2.1-3,,1.2.1-2,1.2.1-2
libXdamage.spec,,,,1.1.5-1,1.1.5-2,1.1.5-2,,1.1.5-1,1.1.5-1
libXdcmp.spec,,,1.1.3-1,,,,,,
libXdmcp.spec,,,,1.1.3-1,1.1.3-2,1.1.3-2,,1.1.3-1,1.1.3-1
libXext.spec,,,,1.3.4-3,1.3.4-4,1.3.4-4,,1.3.4-3,1.3.4-3
libXfixes.spec,,,,5.0.3-2,5.0.3-3,5.0.3-3,,5.0.3-2,5.0.3-2
libXfont2.spec,,,2.0.3-1,2.0.3-2,2.0.3-3,2.0.3-3,,2.0.3-2,2.0.3-2
libXi.spec,,,,1.7.10-1,1.7.10-2,1.7.10-2,,1.7.10-1,1.7.10-1
libXinerama.spec,,,,1.1.5-1,1.1.5-2,1.1.5-2,,1.1.5-1,1.1.5-1
libxkbcommon.spec,,,,1.4.1-3,1.4.1-5,1.4.1-4,,1.4.1-5,1.4.1-5
libxml2.spec,2.9.11-3,2.9.11-6,2.9.11-13,2.9.12-14,2.12.6-5,2.12.6-5,,2.13.0-2,2.13.0-2
libXrandr.spec,,,,1.5.2-1,1.5.2-2,1.5.2-2,,1.5.2-1,1.5.2-1
libXrender.spec,,,,0.9.10-2,0.9.10-3,0.9.10-3,,0.9.10-2,0.9.10-2
libXScrnSaver.spec,,,,1.2.3-2,1.2.3-3,1.2.3-3,,1.2.3-2,1.2.3-2
libxshmfence.spec,,,,1.3.2-1,1.3.2-3,1.3.2-3,,1.3.2-2,1.3.2-2
libxslt.spec,1.1.34-1,1.1.34-2,1.1.34-1,1.1.34-7,1.1.39-1,1.1.37-6,,1.1.41-1,1.1.41-1
libXt.spec,,,,,1.2.1-3,1.2.1-3,,1.2.1-2,1.2.1-2
libXtst.spec,,,,1.2.3-3,1.2.3-4,1.2.3-4,,1.2.3-3,1.2.3-3
libyaml.spec,0.1.6-3,0.1.7-1,0.2.1-2,0.2.5-1,0.2.5-2,0.2.5-2,,0.2.5-1,0.2.5-1
libyang.spec,,,,2.1.55-1,2.1.55-2,2.1.55-2,,2.1.55-2,2.1.55-2
lightstep-tracer-cpp.spec,0.19-2,0.19-1,0.19-4,0.19-6,,,,,
lighttpd.spec,,,,,1.4.76-2,1.4.76-2,,1.4.76-1,1.4.76-1
lightwave.spec,,1.3.1.34-14,1.3.1.34-43,,,,,,
likewise-open.spec,,6.2.11.13-1,6.2.11.13-3,,,,,,
linux-api-headers.spec,4.4.302-1,4.9.334-1,4.19.306-1,5.10.210-1,6.1.79-4,6.1.79-4,,6.1.79-1,6.1.79-1
linux-aws.spec,,4.9.334-1,4.19.325-1,5.10.234-2,,,,,
linux-esx.spec,4.4.302-2,4.9.334-1,4.19.325-1,5.10.234-2,6.1.126-5,,6.1.83-2,6.1.83-3,6.1.83-3
linux-firmware.spec,,,20210204-1,20230320-1,20230207-2,20230207-2,,20230207-1,20230207-1
Linux-PAM.spec,1.2.1-4,1.3.0-1,1.3.0-2,1.5.3-3,1.5.3-6,1.5.3-6,,1.6.1-2,1.6.1-2
linux-rt.spec,,,4.19.325-1,,6.1.126-5,,6.1.83-2,6.1.83-3,6.1.83-3
linux-secure.spec,,4.9.334-1,4.19.325-1,5.10.234-2,,,,,
linux.spec,4.4.302-2,4.9.334-1,4.19.325-1,5.10.234-2%{?acvp_build:.acvp},6.1.126-5%{?acvp_build:.acvp},,6.1.83-6%{?acvp_build:.acvp},6.1.83-9%{?acvp_build:.acvp},6.1.83-9%{?acvp_build:.acvp}
linuxptp.spec,,,4.0-2,4.0-1,4.2-2,4.2-2,,4.0-1,4.0-1
liota.spec,,,0.4.1-3,,,,,,
lksctp-tools.spec,,,1.0.18-2,1.0.18-3,1.0.19-3,1.0.19-3,,1.0.19-2,1.0.19-2
lldb.spec,3.9.1-3,4.0.0-3,10.0.1-5,12.0.0-1,15.0.7-6,15.0.7-6,,15.0.7-7,15.0.7-7
lldpad.spec,,,,,1.1-4,1.1-4,,,
llvm.spec,3.9.1-1,4.0.0-3,10.0.1-3,12.0.0-2,15.0.7-5,15.0.7-4,,15.0.7-4,15.0.7-4
lm-sensors.spec,,3.5.0-2,3.5.0-1,3.6.0-1,3.6.0-2,3.6.0-2,,3.6.0-1,3.6.0-1
lmdb.spec,,0.9.21-1,0.9.22-3,0.9.24-2,0.9.29-2,0.9.29-2,,0.9.29-1,0.9.29-1
log4cpp.spec,,,,,1.1.3-4,1.1.3-3,,,
logrotate.spec,3.11.0-1,3.11.0-3,3.14.0-1,3.21.0-1,3.22.0-2,3.22.0-2,,3.20.1-1,3.20.1-1
logstash.spec,6.8.15-2,6.8.15-2,6.8.15-5,,,,,,
lshw.spec,B.02.18-1,B.02.18-1,B.02.18-1,B.02.18-1,B.02.19-2,B.02.19-2,,B.02.19-1,B.02.19-1
lsof.spec,4.89-2,4.89-3,4.91-2,4.95.0-1,4.96.4-2,4.96.4-2,,4.96.4-1,4.96.4-1
lsscsi.spec,0.28-2,0.28-2,0.30-1,0.31-1,0.32-2,0.32-2,,0.32-1,0.32-1
ltrace.spec,0.7.3-2,0.7.3-3,0.7.3-4,0.7.3-4,0.7.3-6,0.7.3-6,,0.7.3-6,0.7.3-6
lttng-tools.spec,,,,2.12.2-3,2.13.8-3,2.13.8-3,,,
lttng-ust.spec,,,,,2.13.5-2,2.13.5-2,,,
lua.spec,5.3.2-2,5.3.4-3,5.3.6-1,5.4.4-3,5.4.6-3,5.4.6-3,,5.4.6-1,5.4.6-1
lvm2.spec,2.02.141-6,2.02.171-3,2.03.10-1,2.03.10-3,2.03.16-5,2.03.16-5,,2.03.16-4,2.03.16-4
lxcfs.spec,,,4.0.6-2,4.0.5-2,5.0.3-3,5.0.3-2,,5.0.3-1,5.0.3-1
lz4.spec,,1.9.2-2,1.9.3-2,1.9.2-2,1.9.4-3,1.9.4-3,,1.9.4-1,1.9.4-1
lzo.spec,2.09-2,2.10-1,2.10-1,2.10-1,2.10-3,2.10-3,,2.10-2,2.10-2
m4.spec,1.4.17-2,1.4.18-1,1.4.18-2,1.4.18-3,1.4.19-3,1.4.19-3,,1.4.19-1,1.4.19-1
make.spec,4.3-1,4.3-1,4.3-1,4.3-2,4.3-4,4.3-4,,4.3-2,4.3-2
man-db.spec,2.7.5-4,2.7.6-4,2.8.4-2,2.9.3-1,2.11.1-3,2.11.1-3,,2.11.1-2,2.11.1-2
man-pages.spec,4.04-2,4.10-1,4.16-3,5.08-3,5.13-3,5.13-3,,5.13-2,5.13-2
mariadb.spec,10.2.43-1,10.2.44-1,10.3.36-2,10.9.4-3,10.9.4-9,10.9.4-9,,10.9.4-14,10.9.4-14
mc.spec,,4.8.19-2,4.8.25-3,4.8.25-3,4.8.28-3,4.8.28-3,,4.8.28-2,4.8.28-2
memcached.spec,,,1.6.22-1,1.6.22-1,1.6.22-2,1.6.22-2,,1.6.15-3,1.6.15-3
mercurial.spec,4.5.3-3,4.5.3-3,5.9.3-1,5.5.1-2,6.3.1-2,6.3.1-2,,6.3.1-1,6.3.1-1
mesa.spec,,,,23.0.0-4,23.0.0-3,23.0.0-2,,23.0.0-2,23.0.0-2
meson.spec,0.50.0-1,0.50.0-1,0.56.2-1,1.3.2-1,1.3.2-1,1.0.0-4,,1.0.0-2,1.0.0-2
mesos.spec,1.5.3-3,1.5.3-2,,,,,,,
micro-config-drive.spec,,25-3,,,,,,,
mingetty.spec,,,,,1.08-4,1.08-4,,1.08-3,1.08-3
minimal.spec,,,,,5.0-4,5.0-4,,,
mkinitcpio.spec,19-2,23-3,24-3,28-2,34-3,34-3,,34-4,34-4
mlocate.spec,0.26-1,0.26-1,0.26-3,0.26-3,0.26-5,0.26-5,,0.26-4,0.26-4
mm-common.spec,,,,1.0.2-1,1.0.5-4,1.0.5-3,,1.0.5-1,1.0.5-1
ModemManager.spec,,,1.8.2-4,1.14.2-6,1.18.12-3,1.18.12-3,,1.18.12-3,1.18.12-3
mokutil.spec,,,,,0.7.1-2,0.7.1-2,,0.7.1-1,0.7.1-1
mongodb.spec,3.4.10-2,3.4.10-2,,,,,,,
monitoring-plugins.spec,,,2.3.1-2,2.3.1-3,2.3.1-3,2.3.1-3,,2.3.1-2,2.3.1-2
motd.spec,,0.1.3-5,0.1.3-5,0.1.3-7,0.1.3-8,0.1.3-8,,1.0-1,1.0-1
mozjs.spec,,,,78.15.0-2,102.12.0-5,102.12.0-5,,102.12.0-6,102.12.0-6
mozjs60.spec,,,60.9.0-4,,,,,,
mpc.spec,1.0.3-2,1.0.3-4,1.1.0-2,1.1.0-2,1.3.1-3,1.3.1-2,,1.3.1-2,1.3.1-2
mpfr.spec,3.1.3-2,3.1.5-2,4.0.2-1,4.1.0-2,4.1.0-3,4.1.0-2,,4.1.0-2,4.1.0-2
msr-tools.spec,,,,,1.3-3,1.3-3,,,
mysql.spec,5.7.37-1,5.7.40-1,8.0.36-1,8.0.41-1,8.4.4-1,8.4.2-2,,8.4.2-1,8.4.2-1
nano.spec,2.5.2-3,2.8.0-1,3.0-1,8.2-1,8.2-2,8.2-2,,8.2-1,8.2-1
nasm.spec,2.12.02-1,2.12.02-1,2.16.01-1,2.16.01-1,2.16.01-2,2.16.01-2,,2.16.01-1,2.16.01-1
ncurses.spec,6.0-11,6.1-3,6.1-5,6.2-6,6.4-4,6.4-4,,6.4-2,6.4-2
ndctl.spec,56-1,56-3,62-1,69-1,74-3,74-2,,74-1,74-1
ndsend.spec,,1.0.0-1,1.0.0-1,1.0.0-1,,,,,
nerdctl.spec,,,1.4.0-7,1.4.0-9,1.4.0-12,1.4.0-10,,1.4.0-8,1.4.0-8
net-snmp.spec,5.8-1,5.8-1,5.8-11,5.8-12,5.9.3-3,5.9.3-3,,5.9.3-2,5.9.3-2
net-tools.spec,1.60-7,1.60-12,1.60-12,1.60-13,2.10-2,2.10-2,,2.10-1,2.10-1
netcat.spec,0.7.1-3,0.7.1-5,0.7.1-5,0.7.1-6,0.7.1-6,0.7.1-6,,0.7.1-5,0.7.1-5
netkit-telnet.spec,0.17-2,0.17-3,0.17-4,0.17-4,0.17-6,0.17-6,,0.17-4,0.17-4
netmgmt.spec,1.0.4-5,1.1.0-9,1.2.0-5,1.2.0-7,,,,,
nettle.spec,3.7.2-2,3.7.2-2,3.7.2-2,3.7.3-1,3.8.1-3,3.8.1-3,,3.9.1-1,3.9.1-1
network-config-manager.spec,,,,0.6.4-3,0.7.4-3,0.7.4-2,,0.7.3-2,0.7.3-2
network-event-broker.spec,,,0.3-9,0.3-11,0.3-15,0.3-15,,0.3-9,0.3-9
NetworkManager.spec,1.22.10-2,,,,,,,,
newt.spec,0.52.18-2,0.52.20-1,0.52.21-1,0.52.21-1,0.52.21-2,0.52.21-2,,0.52.21-1,0.52.21-1
nfs-utils.spec,1.3.3-9,2.3.1-3,2.3.3-8,2.5.1-7,2.6.2-10,2.6.2-10,,2.6.2-10,2.6.2-10
