Spec,photon-1.0,photon-2.0,photon-3.0,photon-4.0,photon-5.0,photon-6.0,photon-common,photon-dev,photon-master
photon-upgrade.spec,1.0-2,1.0-2,1.1-4,1.1-3,1.0-5,1.0-4,,,
pigz.spec,,,,2.7-1,2.7-3,2.7-3,,2.7-2,2.7-2
pinentry.spec,1.0.0-2,1.0.0-2,1.1.0-1,1.1.0-1,1.2.0-3,1.2.0-3,,1.2.0-2,1.2.0-2
pixman.spec,0.34.0-1,0.34.0-2,0.34.0-2,0.40.0-2,0.42.2-2,0.42.2-2,,0.40.0-1,0.40.0-1
pkg-config.spec,0.28-5,0.29.2-3,0.29.2-4,0.29.2-5,0.29.2-5,0.29.2-5,,0.29.2-3,0.29.2-3
pmd-ng.spec,,,,0.1-9,0.1-12,0.1-12,,0.1-7,0.1-7
pmd.spec,,0.0.5-7,0.0.6-6,0.0.7-13,,,,,
podman.spec,,,,4.5.1-8,4.5.1-10,4.5.1-10,,4.5.1-5,4.5.1-5
policycoreutils.spec,,,,3.3-1,3.4-2,3.5-2,,3.5-1,3.5-1
polkit.spec,0.113-8,0.113-9,0.116-6,0.120-6,121-5,121-4,,121-4,121-4
popt.spec,1.16-2,1.16-5,1.16-5,1.16-5,1.16-7,1.16-7,,1.16-5,1.16-5
postgresql.spec,9.6.24-1,9.6.24-1,10.23-3,,,,,,
postgresql10.spec,,,,10.23-2,10.23-2,10.23-2,,,
postgresql13.spec,,,13.18-1,13.18-1,13.18-2,13.18-2,,13.18-1,13.18-1
postgresql14.spec,,,,14.15-1,14.15-2,14.15-2,,14.15-1,14.15-1
postgresql15.spec,,,,15.10-1,15.10-2,15.10-2,,15.10-1,15.10-1
postgresql16.spec,,,,,,,,16.6-1,16.6-1
powershell.spec,,6.1.1-2,7.2.18-1,7.2.18-1,7.4.3-3,7.4.3-3,,7.4.3-2,7.4.3-2
procmail.spec,3.22-4,3.22-5,3.22-5,3.22-5,3.22-6,3.22-6,,3.22-5,3.22-5
procps-ng.spec,3.3.15-1,3.3.15-3,3.3.15-4,4.0.4-1,4.0.4-3,4.0.4-3,,4.0.4-1,4.0.4-1
