Page URL,Issue Category,Issue Location Description,Fix Suggestion
https://127.0.0.1/photon/docs-v3/user-guide/kubernetes-on-photon-os/running-kubernetes-on-photon-os/system-information/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/user-guide/kubernetes-on-photon-os/running-kubernetes-on-photon-os/system-information/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/user-guide/kubernetes-on-photon-os/running-kubernetes-on-photon-os/system-information/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/troubleshooting-guide/introduction/systemd-and-tdnf/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/troubleshooting-guide/introduction/systemd-and-tdnf/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/troubleshooting-guide/introduction/systemd-and-tdnf/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/managing-packages-with-tdnf/standard-syntax-for-tndf/tdnf-commands/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/managing-packages-with-tdnf/standard-syntax-for-tndf/tdnf-commands/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/managing-services-withsystemd/viewing-services/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/managing-packages-with-tdnf/standard-syntax-for-tndf/tndf-commands/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/managing-services-withsystemd/viewing-services/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/managing-services-withsystemd/viewing-services/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/troubleshooting-guide/file-system-troubleshooting/adding-a-disk-and-partitioning-it/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/troubleshooting-guide/file-system-troubleshooting/adding-a-disk-and-partitioning-it/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/troubleshooting-guide/file-system-troubleshooting/adding-a-disk-and-partitioning-it/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/photon-management-daemon/available-apis/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/installation-guide/photon-management-daemon/available-apis/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/troubleshooting-guide/kernel-problems-and-boot-and-login-errors/boot-process-overview/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/troubleshooting-guide/kernel-problems-and-boot-and-login-errors/boot-process-overview/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/troubleshooting-guide/kernel-problems-and-boot-and-login-errors/boot-process-overview/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/installation-guide/build-iso-from-source/build-prerequisites/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/installation-guide/building-images/build-prerequisites/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/installation-guide/building-images/build-prerequisites/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/installation-guide/building-images/build-other-images/building-ova-image/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/installation-guide/building-images/build-other-images/building-ova-image/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v4/administration-guide/managing-packages-with-tdnf/configuration-files-and-repositories/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v3/administration-guide/managing-packages-with-tdnf/configuration-files-and-repositories/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/administration-guide/managing-packages-with-tdnf/configuration-files-and-repositories/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
https://127.0.0.1/photon/docs-v5/user-guide/kubernetes-on-photon-os/kubernetes-kubeadm-cluster-on-photon/configure-a-worker-node/,orphan_page,HTTP 404 - Page not accessible,Remove from sitemap or fix page availability
